ID_test,pred
896,4.09387
606,3.82372
299,4.86288
357,4.32155
572,5.15943
835,5.4015
28,4.79641
232,4.32172
307,4.28029
709,5.73915
523,3.74674
892,5.18973
989,4.96805
240,4.73667
864,4.0909
56,3.76283
636,5.44271
176,3.67057
15,4.00163
78,3.94797
32,4.95893
484,5.02372
311,4.11251
312,4.44728
932,4.20985
791,3.82762
46,4.17414
104,4.49439
730,4.93221
2,4.39659
773,5.1789
713,4.87463
759,4.75477
452,4.29389
458,4.90372
739,6.08525
800,5.28298
368,5.31814
923,5.40778
268,3.68149
231,3.9364
1001,5.40877
531,6.20992
701,4.8539
252,3.34051
690,4.84157
822,4.35043
142,5.06547
317,5.71786
483,7.11854
332,5.20401
296,4.81398
263,4.3628
435,4.68049
865,4.33951
373,4.01333
273,4.20268
271,4.80871
504,5.70831
320,5.43272
558,4.18479
987,5.43481
143,4.47981
203,4.36266
797,4.89461
197,4.22285
265,3.73237
534,4.84693
253,4.7433
579,5.24149
396,5.22779
300,4.33629
890,5.55932
248,4.16116
390,4.17688
799,5.10607
879,4.43354
467,4.42456
604,4.51704
657,3.87373
262,4.80754
459,5.58185
877,5.07304
914,5.15731
808,4.02741
696,5.22882
237,3.74821
605,3.72649
363,4.73433
931,4.91191
517,4.58873
497,4.65733
804,5.0061
280,4.84643
641,4.7577
488,4.83759
913,6.02568
109,4.09874
495,3.43129
825,5.39254
788,4.66755
613,5.2163
66,4.31434
777,4.72416
318,3.8737
670,4.34009
753,3.51721
729,4.45572
758,4.39083
215,3.77873
98,6.35238
586,4.29672
602,4.31993
501,4.87503
256,5.67623
387,4.6122
742,5.23246
385,4.05394
993,5.2565
918,5.25011
812,4.95852
908,5.1617
123,4.61924
768,3.99985
61,4.1666
900,3.45213
625,5.51667
284,4.37607
944,5.36698
876,5.0056
888,4.37354
633,5.48721
403,3.90086
716,4.22928
457,5.23564
383,4.22141
313,4.13178
9,4.0342
532,5.41954
819,5.2261
102,4.52166
493,5.62629
581,4.16921
250,4.54808
279,4.85457
647,4.68985
386,6.19617
766,5.25172
55,4.98842
35,3.809
272,4.5062
31,4.2482
381,6.17186
760,4.39323
741,5.23192
726,4.03802
506,4.80543
364,4.54695
863,4.6809
486,4.552
583,5.12853
816,3.94991
881,4.56248
867,5.68045
436,4.80839
978,6.3121
321,5.09188
514,4.63591
353,6.08933
421,4.96087
950,4.86524
962,4.86706
146,4.84821
829,5.38877
367,4.79442
598,5.32242
241,4.30661
651,3.86702
968,4.90317
145,4.31589
770,5.58385
478,4.05498
789,4.6746
316,5.04319
994,4.7919
546,3.99338
895,4.87363
485,4.3
787,4.06838
205,3.85421
837,4.51069
694,4.6049
953,5.72492
6,4.08374
947,4.9924
682,4.70522
725,4.54288
216,4.19843
656,4.76273
151,4.89795
ID_test,pred
927,5.96753
631,4.3959
683,4.51665
515,5.82725
366,5.63587
656,4.77811
657,4.0329
530,4.99647
322,4.85854
71,3.74482
891,4.01367
372,5.01108
768,4.2589
457,5.16548
248,3.93632
612,5.08036
706,5.8915
979,4.02329
299,4.92495
102,4.58931
960,4.83959
606,3.35711
214,3.83636
238,4.16173
594,4.03571
282,4.56439
378,4.90535
287,4.58962
389,4.11987
884,3.41611
718,4.21304
794,4.40043
97,3.81617
245,3.9763
747,3.83856
77,4.95807
934,5.49816
210,5.17238
260,6.11548
159,3.83073
496,4.46626
527,4.21317
332,4.97077
953,5.66374
315,5.32308
295,3.47113
382,4.61941
921,4.32162
804,4.6917
955,5.83676
622,4.54749
719,4.89346
60,3.6364
626,4.36168
559,4.0037
784,3.70352
381,5.96567
55,4.86366
24,3.85078
31,4.24282
877,5.17115
430,4.17022
11,5.46497
817,5.0428
810,5.28218
483,6.58599
446,4.56288
200,4.0588
501,4.17565
774,5.31091
108,4.79735
219,4.53642
421,4.72575
175,4.75128
721,5.27914
520,5.44112
454,5.59723
930,5.32759
40,5.6137
552,4.97989
820,4.46141
352,3.5718
67,4.86488
278,4.06195
68,4.92928
907,5.64675
915,5.8582
945,4.52335
297,4.90018
619,3.77293
599,5.83691
905,5.95688
849,4.10413
424,4.27586
758,4.39853
313,4.09079
185,4.55323
333,4.905
89,3.98015
64,4.67485
831,6.52229
577,4.20209
216,3.74839
605,4.25134
549,4.56422
291,5.03547
788,4.31482
888,4.11986
964,5.38452
943,3.72038
742,5.36903
978,5.87916
695,5.67364
990,4.92252
310,3.79786
87,3.55474
729,4.17068
517,4.82381
311,4.06245
537,3.49603
137,4.06327
922,4.10653
466,4.27915
846,3.66597
262,4.92013
487,5.69488
169,5.08499
829,5.298
448,4.09254
140,4.80287
740,4.02453
665,4.10821
854,4.22448
441,4.42298
1000,5.24253
532,5.65476
56,3.12403
121,3.66254
529,5.15041
26,4.27953
73,4.08454
45,3.63434
250,5.02686
395,6.09247
913,4.97008
899,4.96959
746,4.57984
199,4.05351
815,4.73891
356,4.33421
324,3.96723
875,3.3296
826,4.23552
236,3.44572
579,5.04103
946,4.87837
940,5.93806
904,3.89424
300,4.46215
61,3.63817
328,5.34286
528,5.67097
600,4.54917
542,4.06885
650,3.39945
771,4.7816
