ID_test,pred
896,5.28786
606,4.11644
299,5.17269
357,4.90217
572,6.91765
835,5.1041
28,4.86122
232,4.63347
307,5.05169
709,4.95347
523,4.42182
892,5.36857
989,6.61355
240,5.22035
864,4.36911
56,3.98015
636,6.0691
176,4.541
15,4.78732
78,3.84673
32,4.96896
484,6.92276
311,4.50668
312,4.75128
932,5.74724
791,4.68197
46,4.83854
104,5.10082
730,4.64671
2,4.66037
773,4.51104
713,5.53352
759,4.80406
452,5.28215
458,4.58662
739,6.51482
800,6.04591
368,6.11844
923,5.65825
268,4.1618
231,4.30511
1001,5.95075
531,6.8574
701,4.44207
252,4.11698
690,5.4986
822,5.47493
142,6.11145
317,5.45312
483,7.14252
332,4.61932
296,5.43593
263,5.38158
435,4.93855
865,4.55309
373,4.37255
273,6.11512
271,4.94447
504,5.82369
320,5.54712
558,5.31957
987,6.0365
143,5.0499
203,5.68363
797,5.07246
197,4.24288
265,4.17072
534,5.04072
253,5.21841
579,5.89654
396,7.1065
300,6.62857
890,5.97171
248,4.66602
390,4.29629
799,6.12207
879,4.80067
467,6.09729
604,4.87916
657,4.15945
262,5.54884
459,5.97508
877,6.33576
914,5.52732
808,4.49571
696,5.07483
237,4.54241
605,4.66744
363,5.03708
931,6.01116
517,5.2358
497,4.94383
804,5.93748
280,5.32971
641,5.53002
488,5.72503
913,6.38851
109,4.0105
495,4.01383
825,4.80031
788,5.8796
613,4.858
66,4.15861
777,6.29051
318,3.98003
670,5.5304
753,4.14648
729,4.75973
758,4.29364
215,4.34059
98,5.55087
586,5.11397
602,5.00152
501,5.01826
256,6.08575
387,4.73517
742,6.30684
385,4.66627
993,6.38455
918,5.63054
812,5.69038
908,6.02579
123,4.48693
768,4.5198
61,4.41127
900,4.05076
625,5.21204
284,4.54332
944,6.28378
876,4.97073
888,4.92025
633,4.87629
403,5.14382
716,5.43234
457,5.31263
383,4.90067
313,5.13591
9,4.95676
532,5.35626
819,5.42686
102,4.69491
493,6.12926
581,4.21969
250,6.14748
279,5.24761
647,4.70885
386,6.23406
766,6.05545
55,5.96871
35,4.62532
272,4.94111
31,4.20233
381,5.71643
760,4.91642
741,5.6735
726,4.3561
506,5.64865
364,4.4713
863,6.68287
486,5.34249
583,4.95871
816,4.26303
881,5.05744
867,5.01627
436,5.43377
978,5.9514
321,5.5
514,4.28122
353,5.99669
421,4.34708
950,5.99428
962,4.8726
146,6.05758
829,6.05751
367,4.94334
598,5.33384
241,4.73871
651,4.63834
968,5.25506
145,4.5677
770,6.6939
478,5.42658
789,5.61036
316,5.32201
994,5.15826
546,4.84544
895,5.89538
485,4.28964
787,5.04056
205,4.49859
837,4.71294
694,4.68604
953,5.92555
6,5.17028
947,5.44158
682,4.94384
725,5.30078
216,4.42089
656,5.58432
151,5.19697
ID_test,pred
927,6.46875
631,5.35742
683,5.51516
515,5.62643
366,6.65365
656,6.12916
657,4.07067
530,6.72376
322,4.97239
71,4.32268
891,4.40557
372,6.30796
768,4.91521
457,5.09363
248,4.50819
612,6.67525
706,5.6484
979,4.24422
299,5.11499
102,4.7436
960,4.93624
606,3.62829
214,4.61478
238,5.13744
594,4.33302
282,4.59911
378,4.73377
287,5.83667
389,4.69608
884,4.15413
718,4.91416
794,4.318
97,4.61981
245,4.83488
747,3.98422
77,4.96996
934,5.83219
210,6.33838
260,6.21935
159,4.30121
496,5.08062
527,4.70869
332,4.63122
953,6.1226
315,6.37307
295,4.06689
382,5.7572
921,5.43048
804,5.77292
955,6.19356
622,4.44266
719,5.01763
60,4.85001
626,4.87832
559,5.75914
784,4.36062
