ID_test,pred
896,5.38434
606,5.14923
299,5.79649
357,5.00504
572,5.63987
835,5.62606
28,4.87186
232,5.47093
307,5.23353
709,5.65469
523,4.65845
892,5.33549
989,5.55345
240,4.89307
864,5.25292
56,4.14752
636,5.38971
176,4.06459
15,4.86284
78,5.34866
32,5.51361
484,5.16642
311,5.25953
312,5.95635
932,5.28641
791,4.47342
46,4.73492
104,5.70923
730,5.55645
2,5.12162
773,5.54533
713,5.35023
759,5.14342
452,5.15703
458,5.43544
739,4.94925
800,5.94004
368,5.74345
923,5.79907
268,4.85981
231,4.10996
1001,5.29306
531,5.32364
701,5.876
252,3.94648
690,5.32857
822,5.06763
142,5.56164
317,5.31533
483,5.99177
332,4.11429
296,5.39049
263,5.38927
435,4.94641
865,5.12399
373,4.85685
273,5.15812
271,5.46371
504,5.62816
320,5.61816
558,5.79565
987,5.41778
143,5.74989
203,5.28202
797,5.31226
197,5.29557
265,5.35541
534,5.20515
253,5.70647
579,5.79167
396,5.01955
300,5.58452
890,5.63011
248,5.05512
390,4.22333
799,5.72194
879,5.16553
467,5.62943
604,5.5252
657,4.27783
262,5.49523
459,5.5121
877,5.45409
914,5.93195
808,4.59349
696,5.68543
237,5.06567
605,4.91047
363,5.50926
931,5.8515
517,5.13342
497,5.65135
804,4.88809
280,5.10743
641,5.80949
488,5.80078
913,5.37093
109,5.205
495,4.21515
825,5.39121
788,5.54513
613,5.46582
66,5.57
777,5.91399
318,4.9597
670,5.47523
753,4.66082
729,5.14648
758,5.70726
215,4.48707
98,5.44021
586,5.73601
602,4.73997
501,5.39804
256,5.88799
387,5.40033
742,5.57748
385,5.06174
993,5.56668
918,5.61688
812,4.73636
908,5.88176
123,5.29656
768,5.16857
61,5.27332
900,4.05338
625,5.46452
284,5.15387
944,5.57685
876,5.45547
888,4.74254
633,5.60091
403,5.65691
716,5.45634
457,5.05936
383,5.4356
313,5.46778
9,5.05775
532,5.63096
819,4.8259
102,5.19707
493,5.60179
581,4.26127
250,5.87074
279,5.56157
647,5.00024
386,5.51522
766,5.85895
55,5.21255
35,5.61353
272,5.70521
31,5.68034
381,5.49674
760,5.80344
741,5.35568
726,5.70469
506,5.05196
364,4.81661
863,5.3587
486,5.33981
583,5.42017
816,4.86196
881,5.54113
867,5.97231
436,5.21102
978,5.09064
321,5.25648
514,4.91656
353,5.71596
421,5.4849
950,5.78087
962,5.00468
146,6.12716
829,5.63467
367,5.48667
598,5.98387
241,4.57371
651,4.82642
968,5.13268
145,4.84792
770,5.27608
478,5.63776
789,5.169
316,5.00828
994,5.69952
546,4.55043
895,5.45591
485,4.42195
787,5.04312
205,5.5757
837,4.60902
694,5.27794
953,5.41127
6,5.52959
947,5.4005
682,5.48801
725,5.27958
216,4.25245
656,5.11961
151,5.70912
ID_test,pred
927,5.41617
631,4.95907
683,4.8559
515,5.01644
366,4.87037
656,5.2622
657,4.22149
530,5.31543
322,4.49955
71,4.33125
891,4.46966
372,5.51807
768,4.8155
457,5.50469
248,4.94457
612,5.24114
706,5.45436
979,4.66928
299,5.46147
102,5.34279
960,5.00526
606,4.6742
214,4.9404
238,4.86789
594,4.76699
282,5.93404
378,4.80161
287,5.12419
389,5.43037
884,4.16669
718,4.40873
794,5.37189
97,5.28626
245,4.42817
747,4.60066
77,4.51854
934,5.40491
210,5.04069
260,5.3827
159,4.44655
496,5.09687
527,4.42323
332,4.15793
953,5.05928
315,5.35237
295,4.7988
382,4.80393
921,5.12649
804,5.08549
955,4.96973
622,4.39096
719,4.94221
60,5.47439
626,4.98246
559,5.00905
784,5.28797
381,5.25515
55,4.50448
24,5.17246
31,5.16908
877,5.02199
430,4.59418
11,4.9938
817,5.38572
810,4.9199
483,5.68334
446,4.97283
200,5.02496
501,4.91701
774,4.29384
108,5.54107
219,5.07762
421,5.31856
175,5.05506
721,4.93968
520,5.2463
454,5.00992
930,5.32583
40,4.97061
552,5.18239
820,5.09965
352,4.58297
67,5.12725
278,4.62778
68,4.93984
907,5.52369
915,5.33109
945,4.69973
297,4.91633
619,4.44301
599,5.56932
905,5.25244
849,4.77959
424,4.9109
758,5.1982
313,4.54684
185,5.50782
333,5.23117
89,4.68373
64,4.62481
831,5.0441
577,4.76663
216,4.27039
605,4.76852
549,4.2926
291,5.0637
788,5.13086
888,4.27027
964,5.26323
943,4.50562
742,5.5714
978,4.74345
695,5.37635
990,4.37647
310,4.54308
87,4.57833
729,4.57015
517,4.81622
311,5.07056
537,4.40729
137,5.08072
922,4.27584
466,5.23832
846,5.00848
262,5.43466
487,5.34805
169,4.98852
829,5.11967
448,5.06586
140,5.10887
740,4.5615
665,4.82845
854,4.80537
441,4.7648
1000,5.28234
532,5.4935
56,4.10733
121,4.65291
529,4.58857
26,5.30848
73,5.20335
45,4.81543
250,5.48943
395,4.85212
913,5.17942
899,5.12791
746,5.47749
199,4.833
815,5.46409
356,5.4123
324,4.41043
875,4.33899
826,4.64155
236,4.38676
579,5.81099
946,5.23193
940,5.35601
904,5.34898
300,5.06829
61,4.59099
328,4.71993
528,4.98669
600,4.41309
542,4.74074
650,4.71985
771,4.92039
597,4.47743
543,4.90551
782,5.31416
306,5.26391
319,4.39535
482,5.80979
494,5.0005
266,4.95434
111,4.09664
469,5.18147
737,4.84389
526,5.16018
257,4.20889
261,5.03118
545,5.08699
406,4.61325
429,5.41651
629,5.12121
502,4.54235
433,5.16975
732,5.03707
138,4.92977
358,5.39396
929,4.71039
222,4.74487
754,5.12941
595,4.39917
558,5.21447
364,4.49796
524,5.51642
209,5.42284
779,5.49018
335,5.35381
211,5.03515
ID_test,pred
735,4.9757
916,6.32615
197,5.16569
766,5.94225
517,5.29402
483,6.21348
620,5.59112
52,6.08276
116,5.69667
243,5.64907
390,4.65546
907,5.25746
786,5.82934
767,5.7027
331,5.97359
230,5.78323
949,5.08207
172,5.41284
781,5.99242
184,5.06675
457,5.90712
82,4.84259
937,5.47153
490,5.79853
183,4.86431
393,5.19969
510,5.29912
1001,5.60948
187,5.51196
965,4.90308
44,5.81164
6,5.28536
884,4.46349
905,5.95656
978,5.48234
344,5.3837
909,5.39705
235,5.08726
41,5.23982
452,4.60915
988,5.60641
946,5.78494
724,5.37799
56,4.67696
143,6.04825
737,5.36393
704,5.59406
142,5.29827
455,5.17693
128,5.09319
13,4.91153
161,5.54903
565,5.98276
1004,5.51687
738,4.69097
964,5.65992
339,5.4626
726,5.69857
621,5.64578
716,5.54256
850,6.19425
401,5.56141
210,5.54123
98,5.72214
799,5.57836
564,5.92572
706,6.12936
869,5.87907
635,5.34107
15,4.7658
226,5.24723
338,5.45912
366,5.57813
962,5.15376
514,5.50045
22,5.94698
415,5.72384
152,5.7817
109,5.27039
903,5.10151
901,5.55351
134,5.78451
971,5.89116
546,4.72279
238,5.19681
570,4.838
224,4.90379
758,5.74276
507,5.81995
424,5.57875
332,3.9894
606,5.57021
317,5.46691
384,5.58261
496,5.59864
581,4.39876
379,5.95281
923,5.59086
257,4.65599
680,5.55145
86,5.43495
283,5.73521
311,5.46246
275,5.84253
782,5.75148
827,5.46984
219,5.47925
518,4.72659
773,5.28759
684,5.6178
368,5.55615
708,5.80929
681,5.75124
837,4.93905
493,5.7476
492,5.51926
747,5.12984
319,4.56845
664,5.5081
434,4.99323
659,5.17294
156,5.80047
762,5.7782
221,5.62541
137,5.74386
814,5.86845
521,5.69553
251,5.78158
218,5.61447
342,5.30405
348,5.16073
638,5.69996
371,4.83298
160,4.78397
878,5.56588
887,5.61394
192,4.74708
104,5.72594
601,5.56658
500,4.81864
170,5.32653
375,5.3629
61,5.1051
703,5.78936
789,5.09255
480,5.23175
834,5.40565
910,5.80867
318,4.99939
364,5.16505
73,5.00521
76,5.37548
123,5.2305
487,4.69349
503,6.03618
842,5.39396
802,5.19553
631,4.77044
396,6.0169
838,5.88398
397,5.51059
336,5.68269
992,5.67575
591,5.52453
784,5.78729
963,5.89949
126,4.79784
803,5.91673
911,5.95055
652,5.57501
206,5.61681
795,5.6181
220,5.60222
363,5.66676
211,5.38272
412,5.77789
967,5.04902
32,5.45579
845,5.6451
678,4.75937
585,5.36337
448,5.65776
658,4.82264
720,4.59837
60,6.23697
475,5.55023
752,5.53632
568,5.7569
102,5.68539
12,5.23104
824,5.38621
154,4.43359
552,5.79001
523,4.89215
264,6.08879
194,5.30995
794,5.44475
670,5.39234
873,4.8876
977,5.11433
ID_test,pred
613,5.46148
561,5.67688
91,5.50917
335,5.59004
452,5.14861
556,5.28737
771,4.87691
12,4.98898
488,5.81133
346,5.23546
568,5.15533
191,5.03161
651,5.12599
391,5.36619
169,5.63847
50,5.63762
195,4.40343
572,5.22085
11,5.15026
694,5.3807
154,4.20044
73,5.36358
87,4.69954
939,5.53312
407,5.64331
645,4.75694
714,5.357
120,5.03929
472,5.00003
676,5.75602
952,5.13341
649,5.54093
316,4.90673
822,5.18934
681,5.49237
617,5.52001
46,4.60764
764,4.94761
86,5.60284
127,5.46211
892,5.47525
242,5.48739
606,4.52791
545,5.38178
901,5.13974
136,5.39042
160,4.41858
135,5.11252
68,5.19784
773,5.50654
332,4.06143
629,5.40124
240,4.84032
875,4.59957
196,5.42395
61,5.17842
512,5.34434
25,5.01013
247,5.60166
398,5.89345
85,5.6219
847,5.50106
333,5.27521
540,5.77684
903,5.18336
654,5.33042
590,5.68161
496,5.28229
479,5.09504
619,4.63385
718,4.96363
700,5.14975
82,5.09737
137,5.35091
752,4.98159
669,4.89701
241,4.85244
353,5.44001
950,5.64895
501,5.0455
412,5.6871
26,5.50736
279,5.4184
38,5.27886
455,4.91316
908,5.47173
115,5.58665
432,5.19445
13,4.91672
936,5.28108
905,5.69521
925,5.70686
806,4.69075
43,5.0285
815,5.57808
41,5.29953
662,5.24124
665,5.07772
473,5.40226
272,5.57771
570,4.84852
732,5.21023
721,5.09447
5,5.31348
679,4.7329
910,5.4796
300,5.0572
443,5.26952
405,4.87062
918,5.92006
183,4.92478
339,4.94759
465,6.20229
933,5.39272
23,5.28649
249,5.19566
367,5.69946
469,5.33089
975,5.31197
156,5.5708
734,4.98
204,4.94546
790,5.77002
672,4.37914
737,5.28604
3,5.24912
788,5.07943
829,5.16065
658,4.60532
636,5.26563
321,5.11988
993,5.26884
254,4.93112
814,5.59472
919,5.56283
631,4.92828
934,5.41625
821,5.6269
603,4.69354
198,4.24423
960,4.72665
388,5.53458
237,5.35682
267,5.13197
987,5.21247
601,5.52389
275,5.46254
964,5.56897
643,5.86877
419,4.56977
477,6.10435
446,5.62214
271,5.7259
278,4.79623
466,5.21032
768,5.15831
65,5.49031
517,4.90936
581,4.6348
670,5.54144
132,4.98393
985,5.4752
33,5.35604
693,4.74769
742,5.63548
650,5.1271
231,4.98492
134,5.62944
541,4.73733
423,4.86916
832,5.33693
366,5.03283
218,5.02777
882,4.78965
429,5.74266
21,5.10581
186,5.50459
554,5.33925
344,4.91718
340,5.44484
368,5.31206
725,5.46266
252,4.07556
393,5.57771
592,5.55705
656,5.30732
691,5.12395
996,5.62194
413,5.34725
748,5.41276
458,5.32918
686,4.44874
697,5.68444
868,5.34712
402,5.10831
912,5.44676
427,5.076
861,5.12432
428,5.15608
576,5.57537
ID_test,pred
932,5.59438
945,5.33878
963,5.84446
571,5.65334
625,5.58944
390,5.3535
70,5.17533
698,4.90584
444,5.39088
934,5.63015
434,5.19541
756,5.34105
339,5.15856
473,5.93753
634,5.49155
420,6.10549
772,5.19977
418,5.80988
186,5.34526
709,5.6622
578,5.72947
950,6.01014
739,5.30285
843,5.49791
379,5.78362
416,5.83881
273,5.51347
183,5.32739
327,5.60112
1000,5.60551
360,5.75336
12,5.52977
663,5.64411
807,5.54235
751,5.48796
862,5.609
504,5.53256
248,5.17009
385,5.06398
367,5.98567
736,5.42637
266,5.39106
735,5.53117
428,5.71976
822,5.52028
557,5.3414
900,4.97281
555,5.60719
410,5.74159
718,5.12381
439,5.77005
53,5.55633
141,5.47405
415,5.68353
399,6.01773
947,5.63215
155,5.64144
170,5.59478
97,5.61651
23,5.41988
880,5.49013
277,5.413
916,6.1551
675,5.58559
635,5.70828
7,5.63524
846,5.48361
770,5.40645
501,5.3475
797,5.62751
400,6.15508
537,5.43205
973,5.54945
665,5.38179
686,5.01814
